Speciesname,Total observations,Unique locations,Bodø,BelgianCoast,Galway ,Gdynia,Getxo,Koster,Laeso,Limfjord,Plymouth,Roscoff,SwedishWestCoast,TZS,Vigo,Errors
Hediste diversicolor,24512,12672,29043,9849,4376,23060,99448,474,22503,76405,738,2148,554,292,39493,
Herdmania momus,599,382,2720602,913262,1478014,1619636,559849,1780187,1612023,1534019,977591,838989,1732196,2239369,1044829,
Hesiospina aurantiaca,667,324,169383,281723,5376,609718,443857,14265,105740,166431,27755,53184,17402,697466,717274,
Heteromastus filiformis,30707,12500,12081,12344,81628,246066,99448,474,19205,123446,918,5449,547,621095,NA,
Heteropsyllus curticaudatus,30,15,1422133,291723,927894,686986,1316689,514180,387627,268218,716017,835063,483225,1117665,1639775,
Hexaplex trunculus,2155,1182,1915323,123324,977563,1031410,120492,996574,846369,745552,539210,376105,956955,1563176,372961,
Hubrechtella dubia,46,27,439690,819254,1146534,473768,1828245,735,32532,161689,1154964,1311719,10310,682292,2122975,
Hydrobia ulvae,49642,3492,4680,24785,19737,56331,100020,427,49221,54871,114000,29611,9828,97835,196953,
Hydroides elegans,727,358,191382,297163,299969,1100829,498091,511645,616580,535207,1222,177930,571424,799023,925911,
Hypogastrura viatica,150,39,1275012,286906,607531,589733,1112155,326721,161852,103711,401511,553603,278110,905180,NA,
Idotea balthica,7293,6177,3403,9846,6069,127778,192971,593,14167,6498,1109,73,8180,149,29484,
Idotea granulosa,1904,1277,15468,48969,11722,185853,363218,2161,14167,55307,1055,28523,8180,191,729806,
Igernella notabilis,103,62,6286942,5764927,4915276,6742195,5443122,6198197,6224171,6103820,5284393,5306257,6224708,6852733,4991213,
Ischyrocerus anguipes,848,526,3972,281598,33460,435613,430178,8723,14167,66640,10108,54880,38333,697466,1373,
Ischyrocerus minutus,20,13,157594,1693904,1882159,1321721,2707130,801845,981117,1036284,1996580,2161854,858002,863955,2967789,
Jaera ischiosetosa,181,116,439646,56622,339773,87536,774336,17175,196795,234662,21142,179079,78412,350554,910111,
Jassa falcata,1908,1139,39507,19184,33460,408407,210802,17156,37273,165610,863,52349,16372,701457,1373,
Jassa herdmani,67,48,101275,12591,6069,694529,513071,559546,399381,312728,185596,6449,514488,1013960,60453,
Jassa slatteryi,472,84,2683270,835869,1143893,1787218,192332,1787246,1640717,1536736,672556,498629,1749922,2346974,4881,
Jujubinus striatus,448,322,319934,126885,309073,709326,63889,1050590,945395,830956,31153,1425,1046111,1111641,2115,
Kirchenpaueria pinnata,2998,2241,351683,80261,214,409584,568782,721,6471,138568,719,1032,4609,685531,253684,
Lacuna vincta,5476,4023,2135,24785,3345,380974,214751,427,6471,109216,988,8241,1409,428376,294109,
Lagenidium caudatum,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Laomedea calceolifera,63,59,1521940,104241,386320,1199627,568782,869703,846067,718325,148678,41521,876420,1567826,800347,
Laomedea flexuosa,1116,935,15468,69538,15522,298201,511770,659,114111,166795,1123,41521,9828,57200,800347,
Laonice cirrata,5386,2739,27427,23403,204741,436584,324788,8559,6471,66640,72345,2484,4799,682226,1373,
Laophonte longicaudata,219,146,948779,23403,564810,607663,985709,917,114111,173052,491078,569137,9828,697471,1339940,
Lebbeus polaris,2410,1448,3010,517356,743219,587838,1507959,3211,99081,172405,803350,960876,11506,674969,1771488,
Leimia vaga,2,2,5109675,4953516,4086699,5799591,4896647,5189651,5250788,5144418,4533838,4603935,5226558,5788217,4517345,
Lepadogaster candolii,425,368,1443954,311834,4746,1038817,109808,963582,986357,871793,2091,1216,985950,1647182,5304,
Lepidonotus squamatus,7091,5346,4699,7977,6069,401348,290440,479,6471,113322,4853,46349,5397,673572,2390,
Leuckartiara octona,573,373,365415,13494,168601,405808,533864,621,6471,123446,4291,41521,11156,685975,661858,
Limacia clavigera,3258,2584,3243,81886,293,435873,65831,117,43698,115518,1041,26489,4990,685435,1043,
Limanda limanda,20055,5537,37847,3208,2877,19652,346690,757,9772,37939,934,1216,6504,250846,429347,
Limapontia senestra,189,170,317227,45146,41884,767969,676533,200402,210424,148728,30944,125869,203989,896246,871605,
Lineus bilineatus,48,44,923502,134648,246213,583862,895292,247,82207,189613,283741,460458,7313,679961,1198947,
Liocarcinus navigator,1818,909,2350,6305,3187,468173,22660,479,6471,52374,9365,1418,8086,674969,1373,
Liparis montagui,409,381,2350,25666,43607,387693,343221,277,57704,43706,1558,1216,10906,696880,643787,
Littorina littorea,25729,15349,976,43535,2555,300039,100020,593,14167,6295,670,1425,4729,893,762,
Lizzia blondina,154,84,908374,13494,419215,417031,599435,225564,49373,105954,3835,1032,171052,741829,806712,
Lumbricillus lineatus,489,345,28127,50882,41142,4860,100790,1486,41041,14694,173357,1238,12307,18091,36635,
Lysilla loveni,4444,3684,19692,23403,215205,406450,765140,2206,42062,151385,45940,172684,547,681421,977698,
Macrochaeta clavicornis,1706,927,30774,210325,203785,489382,443836,4322,57595,150168,67061,109282,1409,684410,2390,
Magelona johnstoni,6264,4734,1002616,9593,240515,504919,115291,55337,56399,166795,2086,165535,12244,705546,602555,
Magelona mirabilis,3332,1813,932013,11807,80265,405808,115437,8729,35634,152774,1511,7453,68669,703556,1373,
Malmgrenia lunulata,4308,3719,730142,18310,213725,472826,322584,621,6471,138568,30851,7451,548,681885,1373,
Marthasterias glacialis,18137,11833,121775,24346,53,409584,5293,62,6471,93993,738,2054,4119,413815,1373,
